Iteraciones,Ganados,Exploracion
20,0,0.7857499999999995
40,0,0.7707499999999989
60,0,0.7557499999999984
80,0,0.7407499999999978
100,0,0.7257499999999972
120,0,0.7107499999999967
140,0,0.6957499999999961
160,0,0.6807499999999955
180,0,0.665749999999995
200,0,0.6507499999999944
220,0,0.6357499999999938
240,0,0.6207499999999933
260,0,0.6057499999999927
280,0,0.5907499999999921
300,0,0.5757499999999915
320,0,0.560749999999991
340,0,0.5457499999999904
360,1,0.5307499999999898
380,2,0.5157499999999893
400,0,0.5007499999999887
420,1,0.48574999999998925
440,3,0.4707499999999898
460,1,0.45574999999999033
480,0,0.44074999999999087
500,4,0.4257499999999914
520,4,0.41074999999999195
540,0,0.3957499999999925
560,3,0.38074999999999304
580,9,0.3657499999999936
600,7,0.3507499999999941
620,4,0.33574999999999466
640,9,0.3207499999999952
660,6,0.30574999999999575
680,3,0.2907499999999963
700,5,0.27574999999999683
720,6,0.2607499999999974
740,4,0.24574999999999775
760,7,0.23074999999999773
780,7,0.21574999999999772
800,8,0.2007499999999977
820,5,0.1857499999999977
840,9,0.17074999999999768
860,10,0.15574999999999767
880,8,0.14074999999999765
900,3,0.12574999999999764
920,6,0.11074999999999763
940,9,0.09949999999999762
960,4,0.09949999999999762
980,10,0.09949999999999762
1000,13,0.09949999999999762
1020,4,0.09949999999999762
1040,13,0.09949999999999762
1060,7,0.09949999999999762
1080,3,0.09949999999999762
1100,12,0.09949999999999762
1120,10,0.09949999999999762
1140,10,0.09949999999999762
1160,16,0.09949999999999762
1180,14,0.09949999999999762
1200,11,0.09949999999999762
1220,8,0.09949999999999762
1240,15,0.09949999999999762
1260,9,0.09949999999999762
1280,10,0.09949999999999762
1300,11,0.09949999999999762
1320,10,0.09949999999999762
1340,10,0.09949999999999762
1360,6,0.09949999999999762
1380,6,0.09949999999999762
1400,9,0.09949999999999762
1420,2,0.09949999999999762
1440,6,0.09949999999999762
1460,11,0.09949999999999762
1480,7,0.09949999999999762
1500,11,0.09949999999999762
