Iteraciones,Ganados,Exploracion
20,0,0.7857499999999995
40,0,0.7707499999999989
60,0,0.7557499999999984
80,0,0.7407499999999978
100,0,0.7257499999999972
120,0,0.7107499999999967
140,0,0.6957499999999961
160,0,0.6807499999999955
180,0,0.665749999999995
200,1,0.6507499999999944
220,0,0.6357499999999938
240,0,0.6207499999999933
260,0,0.6057499999999927
280,0,0.5907499999999921
300,0,0.5757499999999915
320,0,0.560749999999991
340,1,0.5457499999999904
360,1,0.5307499999999898
380,0,0.5157499999999893
400,1,0.5007499999999887
420,1,0.48574999999998925
440,5,0.4707499999999898
460,2,0.45574999999999033
480,2,0.44074999999999087
500,3,0.4257499999999914
520,3,0.41074999999999195
540,2,0.3957499999999925
560,5,0.38074999999999304
580,5,0.3657499999999936
600,4,0.3507499999999941
620,5,0.33574999999999466
640,2,0.3207499999999952
660,2,0.30574999999999575
680,8,0.2907499999999963
700,6,0.27574999999999683
720,6,0.2607499999999974
740,10,0.24574999999999775
760,8,0.23074999999999773
780,5,0.21574999999999772
800,6,0.2007499999999977
820,7,0.1857499999999977
840,10,0.17074999999999768
860,10,0.15574999999999767
880,13,0.14074999999999765
900,4,0.12574999999999764
920,4,0.11074999999999763
940,8,0.09949999999999762
960,10,0.09949999999999762
980,9,0.09949999999999762
1000,11,0.09949999999999762
1020,9,0.09949999999999762
1040,6,0.09949999999999762
1060,4,0.09949999999999762
1080,11,0.09949999999999762
1100,7,0.09949999999999762
1120,12,0.09949999999999762
1140,7,0.09949999999999762
1160,8,0.09949999999999762
1180,1,0.09949999999999762
1200,9,0.09949999999999762
1220,9,0.09949999999999762
1240,9,0.09949999999999762
1260,10,0.09949999999999762
1280,6,0.09949999999999762
1300,8,0.09949999999999762
1320,13,0.09949999999999762
1340,14,0.09949999999999762
1360,8,0.09949999999999762
1380,10,0.09949999999999762
1400,9,0.09949999999999762
1420,11,0.09949999999999762
1440,6,0.09949999999999762
1460,8,0.09949999999999762
1480,7,0.09949999999999762
1500,16,0.09949999999999762
